same,dht,page,padam,linga,Image Caption,Imaage link,alnk,,unicode,,,,,,,
,पिबति,8,पिबति,k,pibati,imgs/bp02/c14.png,imgs/bp02/u14.mp3,,,,,,,,,14
,धावति,8,धावति,k,dhāvati,imgs/bp04/c15.png,imgs/bp08/u15.mp3,,,,,,,,,15
,व्याघ्रः,9,व्याघ्रः,p,vyāghraḥ,https://openmoji.org/data/color/svg/1F42F.svg,imgs/bp09/u01.mp3,,1F42F,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F42F.png,1
,शशः,9,शशः,p,śaśaḥ,https://openmoji.org/data/color/svg/1F407.svg,imgs/bp09/u02.mp3,,1F407,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F407.png,2
,सिंहः,9,सिंहः,p,simhaḥ,https://openmoji.org/data/color/svg/1F981.svg,imgs/bp09/u03.mp3,,1F981,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F981.png,3
,सर्पः,9,सर्पः,p,sarpaḥ,https://openmoji.org/data/color/svg/1F40D.svg,imgs/bp09/u04.mp3,,1F40D,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F40D.png,4
,वानरः ,9,वानरः ,p,vānaraḥ,https://openmoji.org/data/color/svg/1F412.svg,imgs/bp09/u05.mp3,,1F412,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F412.png,5
,वराहः,9,वराहः,p,varāhaḥ,https://openmoji.org/data/color/svg/1F417.svg,imgs/bp09/u06.mp3,,1F417,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F417.png,6
,उष्ट्रः,9,उष्ट्रः,p,uṣṭraḥ,https://openmoji.org/data/color/svg/1F42A.svg,imgs/bp09/u07.mp3,,1F42A,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F42A.png,7
,भल्लूकः,9,भल्लूकः,p,bhallūkaḥ,https://openmoji.org/data/color/svg/1F43B.svg,imgs/bp09/u08.mp3,,1F43B,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F43B.png,8
